FaultNodes,TransactionRate,Type,Quorum,SubEpoch,TotalNodes,Sine Pattern,,,,,,,,,,,,,,,,,,,,,,,,SubEpoch30,SubEpoch31,SubEpoch32,SubEpoch33,SubEpoch34,SubEpoch35,SubEpoch36,SubEpoch37
1,699840,No Fault,5,25,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,699840,No Fault,,,MPB,Malicious Partial Block+Latency:200ms ,MFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,699840,No Fault,,,MFB*,Malicious Full Block+Latency:200ms (Throughout),MPB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,676000,Latency: 100ms,,,MFB** ,Malicious Full Block+Latency:200ms (For First 100 blocks),,,,,,,,,,,,,,,,,,,,,,,,613.157689,633.858512,658.113519,695.534212,733.346925,754.855674,788.678038,820.860396
2,636000,Latency: 100ms,,,MFB***,Malicious Full Block+Latency:200ms (For First 200 blocks),,,,,,,,,,,,,,,,,,,,,,,,633.280629,638.62452,661.244197,680.311459,705.02159,738.035389,755.604469,767.182715
3,600000,Latency: 100ms,,,MFB Sine,"Malicious Full Block+Latency:200ms (For First 50-100, 150-200, 250-300, 350-400 blocks)",,,,,,,,,,,,,,,,,,,,,,,,611.114346,618.424692,640.723103,667.168705,690.139381,721.812855,732.923785,766.693912
1,564000,MFB*,,,,,,,,,,,,,,,,,,,,,,,,,,,,686.393944,711.748162,732.894304,743.622229,768.662287,788.951449,815.468083,843.199708
2,524000,MFB*,,,,,,,,,,,,,,,,,,,,,,,,,,,,641.74895,665.313743,679.924391,704.381312,713.016797,724.923236,738.629678,741.599252
3,380000,MFB*,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.140649,637.575382,670.285629,681.770721,716.795791,724.555822,756.38445,784.114995
1,440000,MPB,,,,,,,,,,,,,,,,,,,,,,,,,,,,612.186618,639.717569,653.727677,681.573036,704.529441,723.663731,738.610153,764.463754
2,400000,MPB,,,,,,,,,,,,,,,,,,,,,,,,,,,,466.536067,480.890077,489.394372,505.976596,509.557171,537.324931,557.024239,572.949898
3,360000,MPB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,630000,MFB** ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,600000,MFB** ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,580000,MFB** ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,620000,MFB***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,590000,MFB***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,570000,MFB***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,625000,MFB Sine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,600000,MFB Sine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,585000,MFB Sine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
